channelId,title,channelTitle,publishedAt
"UCMWs0TT4Ga64c4WDEB-mfIQ","Lionel Messi Best Ever Copa America 2021","Wouva","2021-07-12T09:00:02Z"
"UCsE7IVpsU-jk6vAdBP9ZREg","LINEUP RRQ HOSHI MPL SEASON 8 : SIXTH PLAYER","Team RRQ","2021-07-12T15:26:39Z"
"UCepUWUpH45hRTi-QePdq1Bg","[ENG] [스트릿 우먼 파이터] Eat You Up + Better - YGX | 글로벌 평가","Mnet Official","2021-07-12T02:30:01Z"
"UCr8WCDMH5PpPq6uUxHg5A7w","VIRAL PETUGAS PPKM VS PENJUAL KOPI SAAT PENERTIBAN COVID19","Tribun Kaltim Official","2021-07-11T14:00:54Z"
"UCvM5NAeWfAzML4We-meb26w","BAKUL CIU VS BAKUL TUAK - FILM PENDEK","deedee ka","2021-07-10T12:00:58Z"
"UCyGa1YEx9ST66rYrJTGIKOw","BONUCCI, CHIESA, DONNARUMMA | ITALY'S winning story at EURO 2020","UEFA","2021-07-15T07:00:23Z"
"UCe4cPmA9HNcCRYEGuknngZA","HARUSKAH AKU MATI  [ koplo ] ~ Era Syaqira  |  Andai kau merasakan sakit yang kau berikan kepadaku","Khatulistiwa Record","2021-07-10T02:00:11Z"
"UCLLGM0MV2OpvwFCjG70nkIg","Ndarboy Genk - Mendung Tanpo Udan (Official Music Video) Versi Dangdut","Ndarboy Genk","2021-07-05T08:00:10Z"
"UC-S7cyZCojMeVopBkH6yNEw","TANTANGAN MAKANAN HITAM VS PINK || Makan Hanya 1 Warna Selama 24 Jam oleh 123 GO! CHALLENGE","123 GO! CHALLENGE Indonesian","2021-07-03T10:00:08Z"
"UCamwEBao0i0J1_Nqf3beqgA","#suaratirta : INFO HOAX COVID HARI INI (PART 2)","Tirta PengPengPeng","2021-07-13T11:29:28Z"
"UCGAGPNod17fLs8blfuev4hA","NGAMBIL MOBIL BARU DARI DEALER","Ridwan Hanif Rahmadi","2021-07-13T09:00:07Z"
"UCppou5iYD1t_sMx2t_DHikw","(ENG) BTS 진에게 신곡 스포일러를 부탁해보았습니다","혀니콤보 TV","2021-07-16T11:00:02Z"
"UC7GWXKxiy9_AU9TytEh00eg","Nenek Setan - Selalu Memaksaku Ikut ke Kuburan #HORORMISTERI | Kartun Hantu Nenek, Animasi Horor","Rizky Riplay","2021-07-10T02:00:32Z"
"UCepUWUpH45hRTi-QePdq1Bg","[ENG] [스트릿 우먼 파이터] Eat You Up + Better - 원트(WANT) | 글로벌 평가","Mnet Official","2021-07-12T02:30:08Z"
